movie_id,Genre
299,Romance
300,Crime
300,Drama
301,Action
301,Adventure
301,Drama
301,Fantasy
302,Action
302,Crime
302,Drama
302,Thriller
303,Comedy
303,Drama
303,Romance
304,Action
304,Crime
304,Drama
304,Thriller
305,Animation
305,Comedy
306,Action
306,Adventure
306,Fantasy
306,Sci-Fi
307,Adventure
307,Drama
307,Fantasy
308,Drama
308,Mystery
308,Thriller
310,Comedy
310,Drama
311,Adventure
311,Drama
311,Thriller
312,Adventure
312,Drama
312,Horror
313,Comedy
314,Short
314,Fantasy
314,Horror
315,Drama
315,Thriller
317,Animation
317,Comedy
318,Drama
318,History
319,Adventure
319,Drama
319,Fantasy
319,Romance
320,Animation
320,Adventure
320,Fantasy
321,Horror
321,Mystery
321,Thriller
322,Drama
323,Comedy
323,Romance
323,Sport
324,Short
324,Comedy
324,Horror
325,Comedy
325,Romance
326,Animation
326,Adventure
326,Comedy
326,Family
326,Fantasy
326,Music
327,Drama
328,Action
328,Mystery
328,Thriller
329,Action
329,Thriller
330,Documentary
330,Short
330,Biography
331,Action
331,Adventure
331,Fantasy
331,Sci-Fi
332,Comedy
332,Drama
332,Family
333,Reality-TV
334,Adventure
334,Drama
335,Animation
335,Comedy
335,Drama
335,Romance
336,Crime
336,Drama
336,Thriller
337,Thriller
338,Drama
339,Action
339,Drama
339,Romance
339,Thriller
340,Comedy
341,Drama
342,Crime
342,Thriller
343,Animation
344,Animation
345,Drama
345,Mystery
346,Drama
347,Animation
347,Adventure
347,Drama
347,Family
347,Fantasy
348,Drama
349,Drama
349,Thriller
349,Western
350,Adventure
350,Drama
350,Sci-Fi
351,Comedy
352,Documentary
352,Crime
353,Animation
353,Adventure
353,Comedy
354,Drama
354,Horror
354,Sci-Fi
354,Thriller
355,Action
355,Crime
355,Drama
356,Action
356,Drama
356,Family
357,Drama
357,War
358,Crime
360,Comedy
360,Crime
361,Documentary
361,Crime
361,History
362,Animation
362,Action
362,Fantasy
362,Mystery
363,Animation
363,Drama
363,Music
364,Drama
364,Romance
366,Action
366,Crime
366,Drama
366,Thriller
367,Animation
367,Adventure
367,Family
367,Fantasy
368,Comedy
369,Comedy
369,Short
370,Drama
370,Romance
371,Documentary
371,Sport
372,Biography
372,Crime
372,Drama
373,Drama
374,Biography
374,Drama
374,History
375,Documentary
375,Short
376,Comedy
376,Drama
377,Drama
378,Romance
379,Documentary
379,Biography
379,Sport
380,Documentary
381,Drama
382,Action
382,Drama
382,Horror
382,Thriller
383,Drama
384,Comedy
384,Crime
384,Drama
385,Comedy
386,Documentary
386,Comedy
388,Comedy
388,Drama
389,Comedy
389,Drama
391,Adventure
391,Comedy
392,Comedy
392,Horror
392,Thriller
393,Documentary
394,Drama
394,Family
394,Music
394,Romance
395,Action
395,Comedy
395,Fantasy
395,Romance
396,Talk-Show
397,Crime
397,Drama
397,Thriller
398,Drama
399,Documentary
399,Action
399,Crime
399,Drama
400,Comedy
400,Drama
401,Documentary
402,Documentary
402,Animation
403,Animation
403,Action
403,Adventure
403,Drama
403,History
404,Comedy
404,Drama
404,Family
404,Romance
405,Animation
405,Action
405,Sci-Fi
406,Animation
406,Action
406,Music
406,Romance
406,Sci-Fi
407,Comedy
407,Drama
407,Fantasy
408,Crime
408,Drama
408,Thriller
410,Animation
410,Comedy
410,Drama
410,Horror
410,Mystery
410,Thriller
411,Thriller
412,Drama
413,Comedy
