movie_id,Languages
733,French
733,German
734,Czech
735,English
736,English
737,Tagalog
737,Filipino
738,English
740,English
741,English
741,Arabic
741,Spanish
741,Japanese
741,Berberlanguages
741,French
741,Russian
741,JapaneseSignLanguage
742,Indonesian
743,Swedish
743,English
744,English
744,Spanish
745,French
746,English
748,Arabic
749,Arabic
750,English
750,Italian
751,Persian
752,Japanese
753,German
753,English
753,Finnish
754,English
754,Polish
754,German
754,French
755,Portuguese
756,Portuguese
757,Portuguese
759,Korean
760,Spanish
761,English
762,English
763,English
764,Malayalam
765,English
766,English
769,English
770,Swedish
771,English
772,English
772,Swahili
773,Mandarin
774,English
775,English
777,Korean
778,English
779,Japanese
779,Mandarin
780,Hindi
780,English
780,French
780,Japanese
780,Dutch
782,English
783,English
783,Mandarin
784,English
785,English
786,Japanese
787,English
787,German
787,Latin
788,English
791,German
791,English
792,English
793,English
794,Japanese
795,Japanese
796,Romanian
796,English
796,Spanish
797,Portuguese
798,English
799,Russian
799,English
800,English
801,Filipino
801,Tagalog
802,Filipino
802,Tagalog
802,Japanese
803,English
804,French
804,English
805,English
806,German
807,English
808,English
809,German
810,Spanish
811,English
812,English
812,Chinese
813,English
814,Hindi
815,English
816,English
817,English
818,Greek
819,English
820,English
821,German
821,Russian
822,English
822,Norwegian
823,English
824,English
824,Spanish
824,Quechua
825,English
826,Mandarin
827,Korean
828,Japanese
829,Japanese
830,English
830,French
831,Japanese
832,Japanese
833,Japanese
834,Japanese
835,Japanese
836,Japanese
837,Japanese
838,Japanese
838,English
839,Japanese
840,Japanese
840,English
841,Japanese
841,English
842,Japanese
842,English
843,English
843,Japanese
844,Japanese
845,Japanese
845,English
845,Russian
846,Japanese
847,Japanese
848,Japanese
849,English
849,Japanese
850,Japanese
851,Japanese
852,Japanese
853,Japanese
854,Japanese
855,Japanese
856,Dutch
856,English
857,Japanese
858,English
859,Japanese
860,Japanese
861,Japanese
862,English
863,Vietnamese
864,English
864,Spanish
864,French
865,English
865,Malay
865,Hokkien
865,Mandarin
865,Malayalam
866,English
867,English
868,English
868,German
868,French
868,Chinese
869,English
870,English
871,Filipino
871,English
872,English
874,Italian
874,Sicilian
875,Filipino
876,English
877,Italian
878,Arabic
878,French
879,Arabic
879,Italian
880,Italian
880,German
881,Italian
882,Italian
882,Neapolitan
882,English
882,French
882,German
882,Russian
883,English
884,English
884,Serbian
884,Spanish
884,French
884,Bosnian
886,Mandarin
887,Thai
888,Dutch
889,Korean
891,Thai
894,Chinese
895,Russian
896,Japanese
897,English
898,Russian
900,Mandarin
901,Thai
902,Filipino
902,Tagalog
903,Thai
904,Malay
904,English
905,English
906,English
907,Indonesian
908,Korean
909,English
911,Japanese
912,English
912,Chinese
912,Malay
914,Indonesian
915,Malay
915,English
915,Mandarin
916,Indonesian
917,Korean
918,Japanese
919,Indonesian
920,Indonesian
921,Japanese
922,Japanese
923,Japanese
924,Thai
925,English
926,Indonesian
927,Tamil
928,Japanese
929,Thai
930,Indonesian
931,English
931,Malay
931,Hokkien
931,Mandarin
932,Korean
932,English
932,Chinese
933,Portuguese
935,Portuguese
936,English
937,English
938,English
939,English
940,English
941,English
942,English
942,French
943,English
943,Spanish
944,English
945,Swedish
946,Italian
947,Spanish
948,English
949,Italian
949,Latvian
949,Neapolitan
950,English
950,Polish
950,Spanish
951,Dutch
951,English
952,Dutch
952,English
953,English
954,Japanese
955,English
956,English
957,Dutch
958,Korean
959,German
960,English
962,Dutch
962,English
962,Swedish
962,Russian
962,German
962,French
963,English
964,English
965,English
965,Latin
966,French
966,English
967,French
967,Italian
968,English
968,Spanish
968,Polish
970,French
971,English
972,French
973,French
974,French
974,German
975,French
975,English
976,French
977,French
978,Greek
979,English
979,French
980,French
981,French
982,English
983,French
984,French
985,English
986,German
986,French
987,English
988,French
988,Italian
988,English
988,German
988,Greek
988,Spanish
989,Japanese
990,Japanese
991,Japanese
992,Japanese
993,Korean
995,Japanese
996,Japanese
997,English
997,Sanskrit
998,Japanese
999,Japanese
1000,Japanese
1001,Japanese
1002,English
1003,Japanese
1004,Japanese
1004,English
1005,Japanese
1006,English
1006,French
1007,Japanese
1007,English
1007,Indonesian
1008,Japanese
1009,Japanese
1009,English
1010,English
1011,Japanese
1011,English
1012,English
1013,Japanese
1014,English
1015,Japanese
1016,Japanese
1017,Japanese
1018,English
1019,Japanese
1019,Mandarin
1019,Tagalog
1020,Japanese
1021,Japanese
1023,Japanese
1024,Japanese
1025,Japanese
1026,Korean
1026,Chinese
1027,Korean
1027,English
1028,Japanese
1029,Japanese
1030,Japanese
1031,Japanese
1032,Japanese
1033,Japanese
1033,English
1034,Japanese
1035,Japanese
1036,Japanese
1037,Japanese
1038,Japanese
1039,Japanese
1040,Japanese
1041,Japanese
1042,Japanese
1043,Polish
1044,Polish
1045,Japanese
1048,Korean
1049,English
1049,Chinese
1050,English
1051,Japanese
1052,English
1053,English
1053,Dutch
1054,Japanese
1055,Japanese
1056,English
1056,Filipino
1057,Filipino
1057,Tagalog
1058,Tagalog
1058,Filipino
1060,English
1061,Hindi
1063,English
1063,Arabic
1064,Filipino
1064,Tagalog
1065,English
1066,Tagalog
1066,Filipino
1067,English
1068,French
1068,Italian
1068,English
1069,English
1070,English
1071,German
1071,English
1071,Finnish
1072,Spanish
1073,German
1074,English
1075,English
1076,Tamil
1077,English
1078,Russian
1079,English
1080,English
1081,English
1082,Hindi
1083,None
1084,English
1085,Hindi
1086,English
1086,Spanish
1086,French
1087,English
1088,English
1089,English
1089,French
1090,English
1091,Portuguese
1092,English
1093,Filipino
1093,Tagalog
1093,English
1094,Tagalog
1094,Filipino
1095,English
1096,Russian
1097,Russian
1098,English
1099,Danish
1100,German
1101,Italian
1102,Japanese
1102,English
1102,Aboriginal
1103,English
1103,Pushto
1103,Mandarin
1104,Korean
1105,English
1106,English
1107,English
1108,English
1109,Tagalog
1109,Filipino
1110,Portuguese
1111,English
1112,German
1112,French
1112,English
1113,German
1113,English
1114,English
1115,Czech
1116,Czech
1117,Italian
1117,Spanish
1117,Hebrew
1117,Romanian
1118,English
1119,Spanish
1120,Bengali
1121,English
1122,Italian
1122,French
1123,English
1124,Spanish
1124,English
1124,French
1125,English
1126,English
1128,German
1129,Japanese
1130,Filipino
1130,Tagalog
1130,English
1131,German
1131,English
1131,Spanish
1131,French
1132,Russian
1133,English
1136,English
1137,English
1138,English
1139,English
1139,Wolof
1139,French
1139,Yoruba
1140,French
1141,English
1142,English
1142,Spanish
1143,English
1144,Spanish
1145,German
1145,Polish
1146,English
1147,Chinese
1148,English
1149,Korean
1150,English
1151,English
1152,English
1153,English
1154,English
1155,English
1155,French
1156,English
1157,Czech
1158,Czech
1159,Czech
1160,Spanish
1160,English
1161,English
1161,French
1162,English
1162,Filipino
1162,Tagalog
1163,Filipino
1163,Tagalog
1164,Mandarin
1165,English
1166,Turkish
1167,English
1168,English
1169,Telugu
1169,Tamil
1170,English
1171,Arabic
1172,French
1173,French
1174,Korean
1175,English
1176,English
1177,English
1178,English
1179,English
1180,English
1181,English
1182,English
1183,Swedish
1183,Finnish
1184,English
1185,English
1186,English
1186,Spanish
1187,English
1187,Spanish
1188,English
1189,Malayalam
1190,English
1191,English
1192,English
1193,English
1194,English
1195,English
1196,Russian
1196,English
1196,Spanish
1196,Hebrew
1196,Italian
1197,None
1198,English
1198,French
1199,English
1199,Zulu
1201,English
1202,Korean
1203,English
1204,English
1205,English
1205,Yiddish
1206,English
1207,English
1208,English
1209,English
1209,Sanskrit
1210,German
1210,Czech
1210,Latin
1211,English
1212,English
1213,English
1213,Czech
1214,English
1215,English
1216,English
1217,English
1217,French
1217,German
1218,English
1218,Swedish
1219,English
1220,Dutch
1221,English
1222,English
1223,English
1224,English
1225,English
1226,English
1227,Filipino
1227,English
1229,French
1229,Swedish
1229,English
1230,Polish
1232,Filipino
1232,Tagalog
1233,French
1234,Spanish
